codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_unitario,proveedor,descripcion
HEX-00--1--304--212--RP--2--2,bulón,hexagonal,3/4,,2 1/2,,imperial,,,2508.1939,borroni,BU HEX - A/325 - 3/4 x 2 1/2 RP ZD
HEX-00--1--304--214--RP--2--2,bulón,hexagonal,3/4,,2 1/4,,imperial,,,2325.7828,borroni,BU HEX - A/325 - 3/4 x 2 1/4 RP ZD
HEX-00--1--304--234--RP--2--2,bulón,hexagonal,3/4,,2 3/4,,imperial,,,2679.0743,borroni,BU HEX - A/325 - 3/4 x 2 3/4 RP ZD
HEX-00--1--304--300--RP--2--2,bulón,hexagonal,3/4,,3,,imperial,,,2849.432,borroni,BU HEX - A/325 - 3/4 x 3 RP ZD
HEX-00--1--304--312--RP--2--2,bulón,hexagonal,3/4,,3 1/2,,imperial,,,3178.0888,borroni,BU HEX - A/325 - 3/4 x 3 1/2RP ZD
HEX-00--1--304--400--RP--2--2,bulón,hexagonal,3/4,,4,,imperial,,,3519.3253,borroni,BU HEX - A/325 - 3/4 x 4 RP ZD
HEX-00--1--304--412--RP--2--2,bulón,hexagonal,3/4,,4  1/2,,imperial,,,3872.1117,borroni,BU HEX - A/325 - 3/4 x 4  1/2RP ZD
HEX-00--1--304--500--RP--2--2,bulón,hexagonal,3/4,,5,,imperial,,,4225.3955,borroni,BU HEX - A/325 - 3/4 x 5 RP ZD
HEX-00--1--316--012--RT--1--2,bulón,hexagonal,3/16,,1/2,G2,imperial,UNC,zinc,18.8438,borroni,BU HEX G2 UNC - 3/16  x 1/2 RT ZA
HEX-00--1--316--100--RT--1--1,bulón,hexagonal,3/16,,1,G2,imperial,UNC,zinc,28.8261,borroni,BU HEX G2 UNC - 3/16  x 1 RT ZA
HEX-00--1--316--112--RT--1--1,bulón,hexagonal,3/16,,1 1/2,G2,imperial,UNC,zinc,37.732,borroni,BU HEX G2 UNC - 3/16  x 1 1/2 RT ZA
HEX-00--1--316--114--RT--1--1,bulón,hexagonal,3/16,,1 1/4,G2,imperial,UNC,zinc,32.1631,borroni,BU HEX G2 UNC - 3/16  x 1 1/4 RT ZA
