codigo,descripcion_original,descripcion_borroni
>BHG2NC110110Z,"BULON HEXAGONAL G2 7/16-UNC-4,1/2 ZINC",
>BHG2NC110125Z,BULON HEXAGONAL G2 7/16-UNC-5 ZINC,
>BHG2NC110140Z,"BULON HEXAGONAL G2 7/16-UNC-5,1/2 ZINC",
>BHG2NC110155Z,BULON HEXAGONAL G2 7/16-UNC-6 ZINC,
>BHG2NC110175Z,BULON HEXAGONAL G2 7/16-UNC-7 ZINC,
>BHG2NC110200Z,BULON HEXAGONAL G2 7/16-UNC-8 ZINC,
>BHG2NC110228Z,BULON HEXAGONAL G2 7/16-UNC-9 ZINC,
>BHG2NC110254Z,BULON HEXAGONAL G2 7/16-UNC-10 ZINC,
>BHG2NC125019Z,BULON HEXAGONAL G2 1/2-UNC-3/4 ZINC,
>BHG2NC125022Z,BULON HEXAGONAL G2 1/2-UNC-7/8 ZINC,
>BHG2NC125025Z,BULON HEXAGONAL G2 1/2-UNC-1 ZINC,
>BHG2NC125032Z,"BULON HEXAGONAL G2 1/2-UNC-1,1/4 ZINC",
>BHG2NC125038Z,"BULON HEXAGONAL G2 1/2-UNC-1,1/2 ZINC",
>BHG2NC125044Z,"BULON HEXAGONAL G2 1/2-UNC-1,3/4 ZINC",
>BHG2NC125050Z,BULON HEXAGONAL G2 1/2-UNC-2 ZINC,
>BHG2NC125056Z,"BULON HEXAGONAL G2 1/2-UNC-2,1/4 ZINC",
>BHG2NC125063Z,"BULON HEXAGONAL G2 1/2-UNC-2,1/2 ZINC",
>BHG2NC125070Z,"BULON HEXAGONAL G2 1/2-UNC-2,3/4 ZINC",
>BHG2NC125076Z,BULON HEXAGONAL G2 1/2-UNC-3 ZINC,
>BHG2NC125082Z,"BULON HEXAGONAL G2 1/2-UNC-3,1/4 ZINC",
>BHG2NC125090Z,"BULON HEXAGONAL G2 1/2-UNC-3,1/2 ZINC",
>BHG2NC125100Z,BULON HEXAGONAL G2 1/2-UNC-4 ZINC,
>BHG2NC125110Z,"BULON HEXAGONAL G2 1/2-UNC-4,1/2 ZINC",
>BHG2NC125125Z,BULON HEXAGONAL G2 1/2-UNC-5 ZINC,
>BHG2NC125140Z,"BULON HEXAGONAL G2 1/2-UNC-5,1/2 ZINC",
>BHG2NC125155Z,BULON HEXAGONAL G2 1/2-UNC-6 ZINC,
>BHG2NC125175Z,BULON HEXAGONAL G2 1/2-UNC-7 ZINC,
>BHG2NC125200Z,BULON HEXAGONAL G2 1/2-UNC-8 ZINC,
>BHG2NC125228Z,BULON HEXAGONAL G2 1/2-UNC-9 ZINC,
>BHG2NC125254Z,BULON HEXAGONAL G2 1/2-UNC-10 ZINC,
>BHG2WH125019Z,BULON HEXAGONAL G2 1/2-WHT-3/4 ZINC,
>BHG2WH125022Z,BULON HEXAGONAL G2 1/2-WHT-7/8 ZINC,
>BHG2WH125025Z,BULON HEXAGONAL G2 1/2-WHT-1 ZINC,
>BHG2WH125032Z,"BULON HEXAGONAL G2 1/2-WHT-1,1/4 ZINC",
>BHG2WH125038Z,"BULON HEXAGONAL G2 1/2-WHT-1,1/2 ZINC",
