codigo,tipo,forma,diametro,paso,largo,grado,sistema,acabado,precio_unitario,proveedor,descripcion
AC12X50,tornillo_allen,cilindrica,12,1.75,50,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 50 12.9"
AC12X60,tornillo_allen,cilindrica,12,1.75,60,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 60 12.9"
AC12X70,tornillo_allen,cilindrica,12,1.75,70,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 70 12.9"
AC12X80,tornillo_allen,cilindrica,12,1.75,80,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 80 12.9"
AC12X90,tornillo_allen,cilindrica,12,1.75,90,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 90 12.9"
AC12X100,tornillo_allen,cilindrica,12,1.75,100,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 100 12.9"
AC12X110,tornillo_allen,cilindrica,12,1.75,110,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 110 12.9"
AC12X120,tornillo_allen,cilindrica,12,1.75,120,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 120 12.9"
AC12X130,tornillo_allen,cilindrica,12,1.75,130,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 130 12.9"
AC12X140,tornillo_allen,cilindrica,12,1.75,140,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 140 12.9"
